Date,Stress Score,Sleep Score,bed time,wake up,REM,,Light,,Deep,,segmentation,resting_heart_rate
2023/7/14,70,83,01:39,07:58,1,32,2,44,1,14,1,60
2023/7/15,67,85,02:33,12:30,0,59,5,53,1,43,2,60
2023/7/16,,87,03:56,14:01,1,56,5,27,1,28,1,60
2023/7/17,65,70,03:51,08:06,0,48,2,5,0,47,2,62
2023/7/18,64,73,02:57,07:58,0,53,2,23,1,3,2,64
2023/7/19,72,88,22:51,07:54,1,44,4,56,1,17,1,65
2023/7/20,69,67,04:01,07:58,0,33,2,14,0,37,3,64
2023/7/21,71,73,03:32,08:07,0,28,2,28,1,3,2,62
2023/7/22,,86,03:32,14:12,1,1,4,31,2,2,1,
2023/7/23,,89,04:34,15:07,1,53,5,58,1,37,1,62
2023/7/24,64,,,,,,,,,,,
2023/7/25,60,67,19:26,07:48,0,29,3,15,0,26,3,62
2023/7/26,62,75,20:10,01:47,1,3,3,26,0,27,1,64
2023/7/27,58,81,22:16,07:01,0,44,6,19,0,32,1,64
2023/7/28,66,68,04:23,07:48,0,54,1,30,0,36,1,63
2023/7/29,73,85,02:47,12:40,1,41,5,10,1,32,1,65
2023/7/30,,90,03:00,12:30,1,48,5,6,1,11,1,65
2023/7/31,68,69,02:46,07:58,0,44,2,42,0,52,2,64
2023/8/1,68,78,22:13,05:40,0,54,4,19,1,5,1,64
2023/8/2,70,77,22:55,07:25,0,57,4,53,1,9,2,62
2023/8/3,71,73,02:40,08:18,1,5,3,0,0,44,1,61
2023/8/4,75,76,01:47,07:55,0,56,3,29,0,53,2,63
2023/8/5,,87,03:10,13:26,1,55,5,44,1,13,1,64
2023/8/6,,87,03:58,13:02,1,34,4,34,1,50,1,63
2023/8/7,65,60,02:56,08:03,0,26,2,58,0,45,1,63
2023/8/8,65,79,22:02,06:46,0,49,5,0,1,22,1,65
2023/8/9,76,75,02:11,07:58,0,56,3,11,0,55,2,64
2023/8/10,70,,,,,,,,,,,63
2023/8/11,72,77,02:48,07:37,1,1,2,21,0,50,2,64
2023/8/12,67,83,02:29,12:28,1,28,5,31,1,43,1,64
2023/8/13,76,82,03:37,11:59,1,44,4,10,1,6,1,64
2023/8/14,78,84,01:50,07:45,1,8,2,42,1,23,2,64
2023/8/15,75,75,03:28,07:49,0,51,2,0,1,3,2,64
2023/8/16,67,81,21:12,06:10,1,10,4,50,1,30,1,65
2023/8/17,,,,,,,,,,,,
2023/8/18,72,71,02:53,07:53,0,26,2,49,1,4,1,65
2023/8/19,74,81,02:44,12:06,1,8,4,52,1,44,1,63
